input	node	python	rust	py_match	rust_match
file:///C:/%ff%fe	C:\cwd\file:\C:\%ff%fe	C:\cwd\file:\C:\%ff%fe	C:%ff%fe	True	False
file://xn--bcher-kva/share	\\bücher\share\	\\bücher\share\	\\xn--bcher-kva\share\	True	False
file://xn--/share	C:\cwd\file:\xn--\share	C:\cwd\file:\xn--\share	C:\cwd\file:\xn--\share	True	True
file://xn--zzzz/share	C:\cwd\file:\xn--zzzz\share	C:\cwd\file:\xn--zzzz\share	C:\cwd\file:\xn--zzzz\share	True	True
file://xn--a/share	C:\cwd\file:\xn--a\share	C:\cwd\file:\xn--a\share	C:\cwd\file:\xn--a\share	True	True
file://XN--BCHER-KVA/share	\\bücher\share\	\\bücher\share\	\\xn--bcher-kva\share\	True	False
file://host\share\file	\\host\share\file	\\host\share\file	\\host\share\file	True	True
file://HOST\Share\File	\\host\Share\File	\\host\Share\File	\\host\Share\File	True	True
file:///C:\Users\test	C:\Users\test	C:\Users\test	C:\Users\test	True	True
file://xn--fa-hia.de/share	\\faß.de\share\	\\faß.de\share\	\\xn--fa-hia.de\share\	True	False
file://xn--strae-oqa.de/share	\\straße.de\share\	\\straße.de\share\	\\xn--strae-oqa.de\share\	True	False
file://xn--zca/share	\\ß\share\	\\ß\share\	\\xn--zca\share\	True	False
file://xn--abc-ppe/share	C:\cwd\file:\xn--abc-ppe\share	C:\cwd\file:\xn--abc-ppe\share	C:\cwd\file:\xn--abc-ppe\share	True	True
file://xn--abc-jdc/share	C:\cwd\file:\xn--abc-jdc\share	C:\cwd\file:\xn--abc-jdc\share	C:\cwd\file:\xn--abc-jdc\share	True	True
relative/path.txt	C:\cwd\relative\path.txt	C:\cwd\relative\path.txt	C:\cwd\relative\path.txt	True	True
file:///C:/	C:\	C:\	C:\	True	True
file:///C:	C:\cwd	C:\cwd	C:	True	False
file://user_name.example/share	\\user_name.example\share\	\\user_name.example\share\	\\user_name.example\share\	True	True
file://-leadinghyphen.example/share	\\-leadinghyphen.example\share\	\\-leadinghyphen.example\share\	\\-leadinghyphen.example\share\	True	True
file://trailinghyphen-.example/share	\\trailinghyphen-.example\share\	\\trailinghyphen-.example\share\	\\trailinghyphen-.example\share\	True	True
file://a..b/share	\\a..b\share\	\\a..b\share\	\\a..b\share\	True	True
file://a.b.c.d.e.f/share	\\a.b.c.d.e.f\share\	\\a.b.c.d.e.f\share\	\\a.b.c.d.e.f\share\	True	True
file://0.0.0.0/share	\\0.0.0.0\share\	\\0.0.0.0\share\	\\0.0.0.0\share\	True	True
file://256.256.256.256/share	C:\cwd\file:\256.256.256.256\share	C:\cwd\file:\256.256.256.256\share	C:\cwd\file:\256.256.256.256\share	True	True
file://1.2.3.4.5/share	C:\cwd\file:\1.2.3.4.5\share	C:\cwd\file:\1.2.3.4.5\share	C:\cwd\file:\1.2.3.4.5\share	True	True
file://[::ffff:192.168.1.1]/share	\\[::ffff:c0a8:101]\share\	\\[::ffff:c0a8:101]\share\	\\[::ffff:c0a8:101]\share\	True	True
file://%E2%80%8B/share	C:\cwd\file:\%E2%80%8B\share	C:\cwd\file:\%E2%80%8B\share	C:\cwd\file:\%E2%80%8B\share	True	True
not-a-file-url-at-all	C:\cwd\not-a-file-url-at-all	C:\cwd\not-a-file-url-at-all	C:\cwd\not-a-file-url-at-all	True	True
file:not-even-slashes	C:\cwd\file:not-even-slashes	C:\cwd\file:not-even-slashes	C:\cwd\file:not-even-slashes	True	True
file:/one/slash	C:\cwd\file:\one\slash	C:\cwd\file:\one\slash	C:\cwd\file:\one\slash	True	True
